China,39.91,116.40,Canada,45.41,-75.70,3979744734
China,39.91,116.40,Sao Tome and Principe,0.34,6.73,4859565
China,39.91,116.40,Turkmenistan,37.95,58.38,-7755612997
China,39.91,116.40,Lithuania,54.69,25.28,1561392454
China,39.91,116.40,Cambodia,11.56,104.92,3045872625
China,39.91,116.40,Ethiopia,9.02,38.75,1552778840
China,39.91,116.40,Aruba,12.52,-70.03,21168263
China,39.91,116.40,Swaziland,-26.32,31.13,-90309121
China,39.91,116.40,Argentina,-34.61,-58.38,2664661250
China,39.91,116.40,Cameroon,3.87,11.52,1148510168
China,39.91,116.40,Burkina Faso,12.37,-1.53,-83503696
China,39.91,116.40,Ghana,5.56,-0.20,2742697632
China,39.91,116.40,Saudi Arabia,24.69,46.72,-34710896775
China,39.91,116.40,Japan,35.69,139.69,-12112983802
China,39.91,116.40,Slovenia,46.05,14.51,1530013238
China,39.91,116.40,Guatemala,14.64,-90.51,1301373978
China,39.91,116.40,Kuwait,29.37,47.98,-6911129317
China,39.91,116.40,Russian Federation,55.75,37.62,9923343758
China,39.91,116.40,Dominica,15.30,-61.39,22859972
China,39.91,116.40,Liberia,6.30,-10.80,2171332871
China,39.91,116.40,Maldives,4.17,73.51,96996372
China,39.91,116.40,Jamaica,18.00,-76.79,623248470
China,39.91,116.40,Oman,23.61,58.59,-19139768842
China,39.91,116.40,Albania,41.33,19.82,89755584
China,39.91,116.40,Gabon,0.39,9.45,-465937359
China,39.91,116.40,Luxembourg,49.61,6.13,1551172721
China,39.91,116.40,New Zealand,-41.29,174.78,-4121529396
China,39.91,116.40,Yemen,15.35,44.21,-922483915
China,39.91,116.40,United Rep. of Tanzania,-6.17,35.74,2588154145
China,39.91,116.40,Andorra,42.51,1.52,2229707
China,39.91,116.40,Greenland,64.18,-51.72,-71971255
China,39.91,116.40,Samoa,-13.83,-171.77,54461726
China,39.91,116.40,United Arab Emirates,24.47,54.37,20587769070
China,39.91,116.40,Uruguay,-34.83,-56.17,-142785678
China,39.91,116.40,India,28.64,77.22,31462141645
China,39.91,116.40,Azerbaijan,40.38,49.89,634985064
China,39.91,116.40,Lesotho,-29.32,27.48,76415957
China,39.91,116.40,Saint Vincent and the Grenadines,13.16,-61.22,25232455
China,39.91,116.40,Kenya,-1.28,36.82,3164697993
China,39.91,116.40,Tajikistan,38.54,68.78,1780612331
China,39.91,116.40,Turkey,39.92,32.85,13260756572
China,39.91,116.40,Afghanistan,34.53,69.17,318663514
China,39.91,116.40,Dem. People's Rep. of Korea,39.03,125.75,702577412
China,39.91,116.40,Bangladesh,23.71,90.41,9102720317
China,39.91,116.40,Mauritania,18.09,-15.98,-1130070382
China,39.91,116.40,Viet Nam,21.02,105.84,31694405533
China,39.91,116.40,Saint Lucia,14.00,-61.01,19852350
China,39.91,116.40,San Marino,43.94,12.45,63240
China,39.91,116.40,French Polynesia,-17.53,-149.57,45238665
China,39.91,116.40,France,48.85,2.35,3829176566
China,39.91,116.40,Bermuda,32.29,-64.78,190034941
China,39.91,116.40,Slovakia,48.15,17.11,-373719122
China,39.91,116.40,Somalia,2.04,45.34,117420999
China,39.91,116.40,Peru,-12.04,-77.03,-2219223728
China,39.91,116.40,Vanuatu,-17.73,168.32,378238667
China,39.91,116.40,Cook Isds,-21.21,-159.78,18471823
China,39.91,116.40,Seychelles,-4.62,55.45,38268013
China,39.91,116.40,Norway,59.91,10.75,-730869712
China,39.91,116.40,Malawi,-13.97,33.79,175371799
China,39.91,116.40,Benin,6.50,2.60,2786470072
China,39.91,116.40,Western Sahara,27.16,-13.20,2977
China,39.91,116.40,Cuba,23.13,-82.38,870151986
China,39.91,116.40,Montenegro,42.44,19.26,70240649
China,39.91,116.40,Saint Kitts and Nevis,17.29,-62.73,15315867
China,39.91,116.40,Togo,6.14,1.21,2325278804
China,39.91,116.40,Armenia,40.18,44.51,46711092
China,39.91,116.40,Timor-Leste,-8.56,125.57,46989330
China,39.91,116.40,Bolivia (Plurinational State of),-19.03,-65.26,255695144
China,39.91,116.40,Ukraine,50.45,30.52,4576357998
China,39.91,116.40,Bahrain,26.22,50.58,933748533
China,39.91,116.40,Tonga,-21.13,-175.20,38454584
China,39.91,116.40,Indonesia,-6.21,106.85,5506211221
China,39.91,116.40,Libya,32.88,13.19,795751485
China,39.91,116.40,Dominican Rep.,18.50,-69.99,755503406
China,39.91,116.40,Finland,60.17,24.94,1925882125
China,39.91,116.40,Mauritius,-20.16,57.50,635833150
China,39.91,116.40,Sweden,59.33,18.06,-188038148
China,39.91,116.40,Belarus,53.90,27.57,291647692
China,39.91,116.40,Mali,12.65,-8.00,122170963
China,39.91,116.40,Wallis and Futuna Isds,-13.28,-176.17,700863
China,39.91,116.40,Saint Pierre and Miquelon,46.78,-56.17,15132
China,39.91,116.40,Bulgaria,42.70,23.32,160241253
China,39.91,116.40,Romania,44.43,26.11,1615035060
China,39.91,116.40,Czech Rep.,50.09,14.42,4222871898
China,39.91,116.40,Chad,12.11,15.04,268392338
China,39.91,116.40,South Africa,-25.74,28.19,-31557649380
China,39.91,116.40,Cyprus,35.17,33.37,918929724
China,39.91,116.40,Brunei Darussalam,4.94,114.95,1613972729
China,39.91,116.40,Qatar,25.28,51.52,-6752445108
China,39.91,116.40,Malaysia,3.14,101.69,-14222590469
China,39.91,116.40,Austria,48.21,16.37,-2992823437
China,39.91,116.40,Mozambique,-25.97,32.58,744418497
China,39.91,116.40,Cayman Isds,19.29,-81.37,10924219
China,39.91,116.40,Uganda,0.32,32.58,380287088
China,39.91,116.40,Marshall Isds,7.09,171.38,1345217208
China,39.91,116.40,Hungary,47.50,19.04,2977132145
China,39.91,116.40,Niger,13.51,2.11,168065153
China,39.91,116.40,Brazil,-15.78,-47.93,-18403651409
China,39.91,116.40,Guinea,9.54,-13.68,823384451
China,39.91,116.40,Panama,8.99,-79.52,10948789861
China,39.91,116.40,Rep. of Moldova,47.01,28.86,94042719
China,39.91,116.40,Costa Rica,9.93,-84.08,-3831076805
China,39.91,116.40,Bahamas,25.06,-77.34,336633702
China,39.91,116.40,Gibraltar,36.14,-5.35,35570133
China,39.91,116.40,Ireland,53.33,-6.25,-1715682596
China,39.91,116.40,Pakistan,33.72,73.04,7822755793
China,39.91,116.40,Palau,7.50,134.62,3172568
China,39.91,116.40,Nigeria,9.07,7.48,10496009960
China,39.91,116.40,Ecuador,-0.23,-78.52,2191582529
China,39.91,116.40,Australia,-35.28,149.13,-61399924816
China,39.91,116.40,Iran,35.69,51.42,-11353218550
China,39.91,116.40,USA,38.90,-77.04,215668996523
China,39.91,116.40,Algeria,36.75,3.04,3859350629
China,39.91,116.40,El Salvador,13.69,-89.19,512967554
China,39.91,116.40,Tuvalu,-8.52,179.19,7534109
China,39.91,116.40,Jordan,31.96,35.95,3264680368
China,39.91,116.40,Chile,-33.46,-70.65,-7602215642
China,39.91,116.40,Belgium,50.85,4.35,5712106917
China,39.91,116.40,Kiribati,1.33,172.98,18200539
China,39.91,116.40,Haiti,18.54,-72.34,308484529
China,39.91,116.40,Belize,17.25,-88.77,113979620
China,39.91,116.40,Sierra Leone,8.48,-13.23,-1300092363
China,39.91,116.40,Georgia,41.69,44.83,807636701
China,39.91,116.40,Gambia,13.45,-16.58,230543220
China,39.91,116.40,Philippines,14.60,120.98,1686296206
China,39.91,116.40,Morocco,34.01,-6.83,2740217292
China,39.91,116.40,Croatia,45.81,15.98,1285676901
China,39.91,116.40,Mongolia,47.91,106.88,-1059955393
China,39.91,116.40,Guinea-Bissau,11.86,-15.60,-4938168
China,39.91,116.40,Thailand,13.75,100.50,-5804776685
China,39.91,116.40,Switzerland,46.95,7.45,-52662414119
China,39.91,116.40,Grenada,12.06,-61.75,7540001
China,39.91,116.40,TFYR of Macedonia,42.00,21.43,-44496377
China,39.91,116.40,Iraq,33.34,44.40,-11090675936
China,39.91,116.40,Dem. Rep. of the Congo,-4.32,15.31,-1796902759
China,39.91,116.40,Estonia,59.44,24.75,910244964
China,39.91,116.40,Turks and Caicos Isds,21.46,-71.14,369720
China,39.91,116.40,Mexico,19.43,-99.13,18727814413
China,39.91,116.40,Lebanon,33.89,35.49,2445251630
China,39.91,116.40,Uzbekistan,41.26,69.22,675262320
China,39.91,116.40,Egypt,30.06,31.25,6511067941
China,39.91,116.40,Djibouti,11.59,43.15,1018610054
China,39.91,116.40,Rwanda,-1.95,30.06,25659691
China,39.91,116.40,Antigua and Barbuda,17.12,-61.85,245143172
China,39.91,116.40,Spain,40.42,-3.70,12959794787
China,39.91,116.40,Colombia,4.61,-74.08,3205765984
China,39.91,116.40,Burundi,-3.38,29.36,41655497
China,39.91,116.40,Fiji,-18.14,178.44,185121983
China,39.91,116.40,Barbados,13.10,-59.62,57522221
China,39.91,116.40,Madagascar,-18.91,47.54,469055118
China,39.91,116.40,Italy,41.89,12.48,8178854952
China,39.91,116.40,Bhutan,27.47,89.64,17396603
China,39.91,116.40,Sudan,15.55,32.53,298408513
China,39.91,116.40,Nepal,27.70,85.32,2167636866
China,39.91,116.40,Singapore,1.29,103.85,15767349862
China,39.91,116.40,Malta,35.90,14.51,1789328559
China,39.91,116.40,Bosnia Herzegovina,43.85,18.36,70447886
China,39.91,116.40,Netherlands,52.37,4.89,50489792372
China,39.91,116.40,Angola,-8.84,13.23,-28008610414
China,39.91,116.40,Suriname,5.87,-55.17,145943412
China,39.91,116.40,Venezuela,10.49,-66.88,-7055595455
China,39.91,116.40,Nauru,166.93,-0.54,1038264
China,39.91,116.40,Israel,35.23,31.77,4463986968
China,39.91,116.40,Central African Rep.,4.36,18.55,-31190163
China,39.91,116.40,Iceland,64.14,-21.90,70843248
China,39.91,116.40,Zambia,-15.41,28.29,-2318173797
China,39.91,116.40,Senegal,14.69,-17.44,957666309
China,39.91,116.40,Papua New Guinea,-9.44,147.18,-244619971
China,39.91,116.40,Lao People's Dem. Rep.,17.97,102.60,712497539
China,39.91,116.40,Portugal,38.72,-9.13,1107402918
China,39.91,116.40,Trinidad and Tobago,10.67,-61.52,201887742
China,39.91,116.40,Zimbabwe,-17.83,31.05,-274013093
China,39.91,116.40,Germany,52.52,13.41,-26814249271
China,39.91,116.40,Denmark,55.68,12.57,2335697884
China,39.91,116.40,Kazakhstan,51.18,71.45,-3505714434
China,39.91,116.40,Poland,52.23,21.01,10343077589
China,39.91,116.40,Eritrea,15.33,38.93,87022449
China,39.91,116.40,Kyrgyzstan,42.87,74.59,5012996005
China,39.91,116.40,Br. Virgin Isds,18.42,-64.62,10980924
China,39.91,116.40,Mayotte,-12.78,45.23,77713575
China,39.91,116.40,Montserrat,16.71,-62.21,129829
China,39.91,116.40,New Caledonia,-22.28,166.46,-38905981
China,39.91,116.40,Paraguay,-25.30,-57.64,1295828661
China,39.91,116.40,Latvia,56.95,24.11,1275109930
China,39.91,116.40,Guyana,6.80,-58.16,139008978
China,39.91,116.40,Syria,33.51,36.29,685447007
China,39.91,116.40,Honduras,14.08,-87.21,564165272
China,39.91,116.40,Myanmar,19.75,96.13,4481822240
China,39.91,116.40,Equatorial Guinea,3.75,8.78,-2112400709
China,39.91,116.40,Tunisia,36.82,10.17,1086429205
China,39.91,116.40,Nicaragua,12.13,-86.25,431093062
China,39.91,116.40,Serbia,44.80,20.47,251784631
China,39.91,116.40,Botswana,-24.65,25.91,-45605648
China,39.91,116.40,United Kingdom,51.51,-0.13,31863340088
China,39.91,116.40,Congo,-4.27,15.28,-4932897202
China,39.91,116.40,Greece,37.98,23.72,2785709386
China,39.91,116.40,Sri Lanka,6.93,79.85,3253984660
China,39.91,116.40,Namibia,-22.56,17.08,224240559
China,39.91,116.40,Rep. of Korea,37.57,126.98,-91907967387
China,39.91,116.40,Comoros,-11.70,43.26,29852325
China,39.91,116.40,Canada,45.41,-75.70,3979744734
China,39.91,116.40,Sao Tome and Principe,0.34,6.73,4859565
China,39.91,116.40,Turkmenistan,37.95,58.38,-7755612997
China,39.91,116.40,Lithuania,54.69,25.28,1561392454
China,39.91,116.40,Cambodia,11.56,104.92,3045872625
China,39.91,116.40,Ethiopia,9.02,38.75,1552778840
China,39.91,116.40,Aruba,12.52,-70.03,21168263
China,39.91,116.40,Swaziland,-26.32,31.13,-90309121
China,39.91,116.40,Argentina,-34.61,-58.38,2664661250
China,39.91,116.40,Cameroon,3.87,11.52,1148510168
China,39.91,116.40,Burkina Faso,12.37,-1.53,-83503696
China,39.91,116.40,Ghana,5.56,-0.20,2742697632
China,39.91,116.40,Saudi Arabia,24.69,46.72,-34710896775
China,39.91,116.40,Japan,35.69,139.69,-12112983802
China,39.91,116.40,Slovenia,46.05,14.51,1530013238
China,39.91,116.40,Guatemala,14.64,-90.51,1301373978
China,39.91,116.40,Kuwait,29.37,47.98,-6911129317
